city,date,lat,lng,temp,humd,wind,cloud
Hermanus,1613067774,-34.4187,19.2345,75.0,80,1.99,0
Cabo San Lucas,1613067906,22.8909,-109.9124,75.0,60,3.44,20
Lorengau,1613067997,-2.0226,147.2712,80.92,77,7.87,100
Yellowknife,1613068072,62.456,-114.3525,-4.0,84,11.5,90
São João da Barra,1613067786,-21.6403,-41.0511,86.0,58,20.71,20
Hithadhoo,1613068075,-0.6,73.0833,81.41,80,13.09,16
Albany,1613068076,42.6001,-73.9662,30.0,41,3.0,94
Bluff,1613068077,-46.6,168.3333,50.86,81,13.58,56
Santa Maria,1613067886,-29.6842,-53.8069,84.2,65,5.75,75
Krasnyy Chikoy,1613068079,50.3643,108.7512,-2.74,87,2.46,66
Cherskiy,1613067969,68.75,161.3,-23.24,87,0.58,11
Santa Cruz de la Sierra,1613068043,-17.8,-63.1667,69.8,94,13.8,90
Ushuaia,1613068083,-54.8,-68.3,48.2,87,13.8,90
Barrow,1613067905,71.2906,-156.7887,-43.6,82,12.66,1
Vaini,1613068085,-21.2,-175.2,77.0,94,4.61,75
Kamenka,1613068086,51.3223,42.7678,24.01,95,3.4,95
Butaritari,1613068087,3.0707,172.7902,81.14,78,14.07,88
Rikitea,1613068089,-23.1203,-134.9692,78.51,73,8.99,90
Tasiilaq,1613068090,65.6145,-37.6368,17.6,57,16.11,90
Camargo,1613068091,27.6667,-105.1667,67.51,24,11.43,0
Kushiro,1613068092,42.975,144.3747,21.25,90,10.67,0
Wad Medani,1613068093,14.4012,33.5199,79.75,17,10.16,65
Nikolskoye,1613067949,59.7035,30.7861,7.0,85,6.71,90
Dawson,1613068096,31.7735,-84.4466,68.0,88,5.75,90
Dikson,1613068097,73.5069,80.5464,-14.67,90,4.52,100
Port Augusta,1613068099,-32.5,137.7667,62.6,88,11.5,90
Zhigansk,1613067982,66.7697,123.3711,-10.01,90,3.36,99
Kavieng,1613068102,-2.5744,150.7967,81.7,78,11.32,96
Kumul,1613068104,42.8,93.45,30.54,81,3.29,98
East London,1613067964,-33.0153,27.9116,75.2,88,11.5,20
Atuona,1613068106,-9.8,-139.0333,78.53,75,13.53,1
Cape Town,1613067884,-33.9258,18.4232,73.99,88,23.02,75
Jamestown,1613068099,42.097,-79.2353,24.8,58,5.75,75
Henties Bay,1613068109,-22.116,14.2845,70.0,85,5.14,73
The Valley,1613067985,18.217,-63.0578,84.2,69,17.27,40
Clarence Town,1613068030,-32.5833,151.7833,66.99,77,2.15,74
Ribeira Brava,1613068113,32.65,-17.0667,63.0,91,1.99,36
Puerto Ayora,1613067956,-0.7393,-90.3518,78.8,83,4.61,75
Nantucket,1613068115,41.2835,-70.0995,28.99,69,6.91,20
Margate,1613068117,51.3813,1.3862,33.01,59,4.0,61
Dingle,1613067974,10.9995,122.6711,76.41,89,2.04,98
Coahuayana Viejo,1613068120,18.7333,-103.6833,69.8,73,5.75,40
Manggar,1613068121,-2.8833,108.2667,78.39,86,8.63,91
Nador,1613068122,35.174,-2.9287,62.6,67,8.05,0
Innisfail,1613068123,-17.5333,146.0333,77.36,84,1.48,81
Nassau,1613068088,40.7507,-73.5829,30.99,55,11.5,90
Qaanaaq,1613067945,77.484,-69.3632,6.46,70,14.65,0
Chokurdakh,1613067983,70.6333,147.9167,-17.27,85,4.09,7
