city,country,date,lat,lng,temp,humd,wind,cloud
Atuona,PF,1613200289,-9.8,-139.0333,78.91,80,15.39,1
Abu Dhabi,AE,1613200252,24.4667,54.3667,69.8,78,4.61,0
Bredasdorp,ZA,1613200292,-34.5322,20.0403,71.6,78,6.91,88
Saldanha,ZA,1613200293,-33.0117,17.9442,64.4,94,2.3,1
Comodoro Rivadavia,AR,1613200052,-45.8667,-67.5,60.8,88,5.19,75
Faya,SA,1613200295,18.3851,42.4509,66.2,37,5.75,0
Rikitea,PF,1613200296,-23.1203,-134.9692,79.48,76,12.19,27
Haikou,CN,1613200298,20.0458,110.3417,73.4,60,6.71,40
Butaritari,KI,1613200300,3.0707,172.7902,81.59,81,9.24,49
Busselton,AU,1613200302,-33.65,115.3333,87.01,29,7.0,0
Avarua,CK,1613200304,-21.2078,-159.775,78.8,83,2.3,40
Punta Arenas,CL,1613200172,-53.15,-70.9167,53.6,66,11.5,90
East London,ZA,1613200306,-33.0153,27.9116,82.4,65,8.05,20
Mataura,NZ,1613200308,-46.1927,168.8643,66.0,69,2.91,8
Asău,RO,1613200310,46.4333,26.4,19.99,33,10.89,0
Hermanus,ZA,1613200311,-34.4187,19.2345,81.0,66,1.01,4
Barrow,US,1613200312,71.2906,-156.7887,-7.6,71,5.75,90
Kununurra,AU,1613200313,-15.7667,128.7333,86.0,84,5.75,90
Kapaa,US,1613200315,22.0752,-159.319,66.2,88,8.05,20
Saskylakh,RU,1613200316,71.9167,114.0833,-27.92,81,2.15,92
Marawi,PH,1613200317,7.9986,124.2928,82.0,83,4.0,100
Saint Paul Harbor,US,1613200319,57.79,-152.4072,35.6,75,19.57,90
Mehamn,NO,1613200320,71.0357,27.8492,20.17,95,8.63,100
Klaksvík,FO,1613200322,62.2266,-6.589,37.4,70,26.46,75
Tuktoyaktuk,CA,1613200323,69.4541,-133.0374,-11.2,77,5.75,1
Hilo,US,1613200234,19.7297,-155.09,71.6,78,4.61,75
Yellowknife,CA,1613200325,62.456,-114.3525,-20.99,76,5.75,1
Jamestown,US,1613200326,42.097,-79.2353,12.99,79,3.78,1
Deputatsky,RU,1613200328,69.3,139.9,-20.45,89,2.95,100
Sur,OM,1613200329,22.5667,59.5289,77.02,42,6.49,0
Uddevalla,SE,1613200331,58.3478,11.9424,24.01,77,1.14,0
Jalu,LY,1613200332,29.0331,21.5482,55.24,60,3.0,0
Viedma,AR,1613200114,-40.8135,-62.9967,70.0,85,1.01,100
Arman',RU,1613200335,59.7,150.1667,10.22,88,1.23,100
Smolenskaya Oblast’,RU,1613200336,55.0,33.0,8.65,94,19.33,100
Inhambane,MZ,1613200337,-23.865,35.3833,84.2,79,23.02,75
Beyneu,KZ,1613200338,45.3167,55.2,45.23,57,22.55,16
Fairbanks,US,1613200339,64.8378,-147.7164,1.99,77,1.05,1
Bluff,NZ,1613200340,-46.6,168.3333,66.0,69,7.43,94
Khatanga,RU,1613200342,71.9667,102.5,-25.71,86,9.31,100
Ulladulla,AU,1613200343,-35.35,150.4667,64.99,88,6.91,90
Palafrugell,ES,1613200344,41.9174,3.1631,51.01,100,3.44,90
Quryq,KZ,1613200345,43.2,51.65,51.87,62,19.3,100
